No.,Date,Name,Language,Year,Good?,N'th time of watching,Location,Director,Runtime,Genre,TMDb_Rating,Release_Year,Overview,API_Status,Var
37,22/05/24,The Fall Guy,English,2024,,,Home,David Leitch,127 min,"Action, Comedy, Romance",6.997,2024,"Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",Found,
36,19/05/24,Kingdom of the Planet of the Apes,English,2024,,,Home,Wes Ball,145 min,"Science Fiction, Adventure, Action, Drama, Thriller",7.061,2024,"Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.",Found,
35,15/05/24,Godzilla x Kong: The New Empire,English,2024,,,Home,Adam Wingard,115 min,"Action, Adventure, Science Fiction",7.1,2024,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",Found,
34,13/05/24,The Ministry of Ungentlemanly Warfare,English,2024,,,Home,Guy Ritchie,120 min,"Action, Comedy, War",7.051,2024,"During World War II, the British Army assigns a group of competent soldiers to carry out a mission against the Nazi forces behind enemy lines... A true story about a secret British WWII organization — the Special Operations Executive. Founded by Winston Churchill, their irregular warfare against the Germans helped to change the course of the war, and gave birth to modern black operations.",Found,
33,10/05/24,Aavesham,Malayalam,2024,,,Theatre,Jithu Madhavan,158 min,"Comedy, Action",7.5,2024,Three college freshmen in Bangalore befriend an eccentric gangster to get revenge on their senior bullies.,Found,
32,06/05/24,Gatta Kusthi,Tamil,2022,,,Home,Chella Ayyavu,146 min,"Comedy, Drama, Family",5.8,2022,"Veera, a misguided man who wants a timid, not-so-learned and subservient wife with long hair, unknowingly ends up getting married to Keerthi, an intrepid wrestler who is also more educated than him and has cropped hair. For how long can Keerthi maintain the charade and what happens when Veera comes to know the truth?",Found,
31,05/05/24,Manjummel Boys,Malayalam,2024,,,Home,Chidambaram,135 min,"Adventure, Thriller, Drama",7.818,2024,"Manjummel Boys, based on a real story, is about a bunch of friends who set out on a trip to Kodaikanal and the events that occur there.",Found,
30,05/05/24,The Intern,English,2015,,3,Home,Nancy Meyers,121 min,Comedy,7.2,2015,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",Found,0
29,04/05/24,Godzilla Minus One,Japanese,2023,,,Home,Takashi Yamazaki,124 min,"Science Fiction, Horror, Action",7.588,2023,"In postwar Japan, Godzilla brings new devastation to an already scorched landscape. With no military intervention or government help in sight, the survivors must join together in the face of despair and fight back against an unrelenting horror.",Found,
28,28/04/24,Hi Nanna,Telugu,2023,,,Home,Shouryuv,155 min,"Drama, Family, Romance",7.9,2023,"Six-year-old Mahi, a spirited child with cystic fibrosis, shares a deep yet complex bond with her father, Viraj, a dedicated single parent and successful fashion photographer. Her curiosity about her absent mother leads to a journey of discovery when she runs away with her loyal dog, Pluto. A chance encounter with a kind woman named Yashna sparks unexpected revelations, intertwining their lives in ways they never anticipated. Set against a backdrop of love, sacrifice, and redemption, Mahi’s story is a heartfelt exploration of family, resilience, and the enduring power of connection.",Found,
27,28/04/24,Nna Thaan Case Kodu,Malayalam,2022,,,Home,Ratheesh Balakrishnan Poduval,139 min,"Drama, Crime, Comedy",7.4,2022,A reformed thief's fight for justice when an innocent act to defend himself places him in loggerheads with the high and mighty of society.,Found,
26,27/04/24,The Handmaiden,Korean,2016,,,Home,Park Chan-wook,145 min,"Thriller, Drama, Romance",8.2,2016,"1930s Korea, in the period of Japanese occupation, a new girl, Sookee, is hired as a handmaiden to a Japanese heiress, Hideko, who lives a secluded life on a large countryside estate with her domineering Uncle Kouzuki. But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed according to plan until Sookee and Hideko discover some unexpected emotions.",Found,
25,27/04/24,Monkey Man,English,2024,,,Home,Dev Patel,122 min,"Action, Thriller",6.888,2024,"Kid is an anonymous young man who ekes out a meager living in an underground fight club where, night after night, wearing a gorilla mask, he is beaten bloody by more popular fighters for cash. After years of suppressed rage, Kid discovers a way to infiltrate the enclave of the city’s sinister elite. As his childhood trauma boils over, his mysteriously scarred hands unleash an explosive campaign of retribution to settle the score with the men who took everything from him.",Found,0
24,19/04/24,English Vinglish,Hindi,2012,,,Home,Gauri Shinde,134 min,"Comedy, Drama, Family",7.241,2012,"In the United States for the first time, an Indian housewife with a limited command of English turns Manhattan into her personal language school.",Found,
23,17/04/24,The Iron Giant,English,1999,,,Home,Brad Bird,86 min,"Animation, Science Fiction, Family, Drama",7.948,1999,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.",Found,0
22,15/04/24,Short Term 12,English,2013,,,Home,Destin Daniel Cretton,96 min,Drama,7.764,2013,"Grace, a compassionate young supervisor at a foster care facility, helps at-risk teens. But when a new charge dredges up memories of her own troubled past, Grace's tough exterior begins eroding.",Found,
21,14/04/24,Sex Appeal,English,2022,,,Home,Talia Osteen,90 min,"Comedy, Romance",6.6,2022,"Avery, a teenager with a tendency towards perfectionism, enlists her friend Larson to help her prepare for her first time with her long-distance boyfriend.",Found,
20,14/04/24,Premalu,Malayalam,2024,,,Home,Girish A. D.,155 min,"Romance, Comedy",7.8,2024,"Sachin, a carefree graduate, crosses paths with Reenu, a spirited IT professional, in Hyderabad. As their friendship deepens, unspoken feelings, career ambitions and life choices challenge their bond.",Found,
19,13/04/24,Dead don't die,English,2019,,,Home,Jim Jarmusch,104 min,"Comedy, Horror",5.431,2019,"In the sleepy town of Centerville, the lives of a number of interconnected characters are disrupted by the undead.",Found,0
18,13/04/24,Honor Society,English,2022,,,Home,Oran Zegman,97 min,Comedy,7.453,2022,"Honor is an ambitious high school senior whose sole focus is getting into Harvard, assuming she can first score the coveted recommendation from her guidance counselor, Mr. Calvin. Willing to do whatever it takes, Honor concocts a Machiavellian-like plan to take down her top three student competitors, until things take a turn when she unexpectedly falls for her biggest competition, Michael.",Found,
17,13/04/24,Fundamentals of Caring,English,2016,,2,Home,Rob Burnett,97 min,"Comedy, Drama",7.293,2016,"Having suffered a tragedy, Ben becomes a caregiver to earn money. His first client, Trevor, is a hilarious 18-year-old with muscular dystrophy. One paralyzed emotionally, one paralyzed physically, Ben and Trevor hit the road on a trip into the western states. The folks they collect along the way will help them test their skills for surviving outside their calculated existence. Together, they come to understand the importance of hope and the necessity of true friendship.",Found,
16,11/04/24,La La Land,English,2016,,,Home,Damien Chazelle,129 min,"Comedy, Drama, Romance",7.898,2016,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",Found,0
15,11/04/24,Wicked Little Letters,English,2023,,,Home,Thea Sharrock,100 min,"Comedy, Drama, Mystery",6.947,2024,"When the denizens of Littlehampton – including conservative Edith – begin receiving letters full of hilarious profanities, rowdy Irish migrant Rose is charged with the crime. Suspecting something amiss, the town's women band together to investigate.",Found,
14,11/04/24,Easy A,English,2010,,3,Home,Will Gluck,93 min,Comedy,6.808,2010,"Olive, an average high school student, sees her below-the-radar existence turn around overnight once she decides to use the school's gossip grapevine to advance her social standing. Now her classmates are turning against her and the school board is becoming concerned, including her favorite teacher and the distracted guidance counselor. With the support of her hilariously idiosyncratic parents and a little help from a long-time crush, Olive attempts to take on her notorious new identity and crush the rumor mill once and for all.",Found,0
13,10/04/24,Kung Fu Panda 4,English,2024,,,Home,Mike Mitchell,94 min,"Animation, Family, Action, Comedy, Adventure, Fantasy",7.039,2024,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",Found,
12,05/04/24,Snack Shack,English,2024,,,Home,Adam Rehmeier,112 min,Comedy,7.194,2024,"Inseparable best friends AJ and Moose decide to run the local pool's snack shack after their plan to sell home-brewed beer goes down the drain. Things take a turn when they meet Brooke, an effortlessly cool lifeguard who puts their big plans, and friendship, at risk.",Found,
11,05/04/24,The Terminal,English,2004,,2,Home,Steven Spielberg,128 min,"Comedy, Drama",7.349,2004,"An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.",Found,0
10,04/04/24,Past Lives,Korean,2023,,,Home,Celine Song,106 min,"Drama, Romance",7.72,2023,"After decades apart, childhood friends Nora and Hae Sung are reunited in New York for one fateful weekend as they confront notions of destiny, love, and the choices that make a life.",Found,0
9,02/04/24,Lover,Tamil,2024,,,Home,Prabhuram Vyas,145 min,"Romance, Drama",7.3,2024,"An alcoholic designer struggles to save his six-year relationship while facing personal challenges and misunderstandings. As their bond is tested, he begins to confront his past and question whether love alone is enough to hold them together.",Found,0
8,23/03/24,500 Days of Summer,English,2009,,,Home,Marc Webb,95 min,"Comedy, Drama, Romance",7.297,2009,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",Found,
7,18/03/24,Dune 2,English,2024,,,Theatre,Denis Villeneuve,167 min,"Science Fiction, Adventure",8.132,2024,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",Found,0
6,05/02/24,12th Fail,Hindi,2023,,,Home,Vidhu Vinod Chopra,146 min,Drama,7.976,2023,"Based on the true story of IPS officer Manoj Kumar Sharma, 12th Fail sheds limelight on fearlessly embracing the idea of restarting the academic journey despite the setbacks and challenges and reclaiming one's destiny at a place where millions of students attempt the world's toughest competitive exam: UPSC.",Found,
5,27/01/24,"As Above, So Below",English,2014,,,Home,John Erick Dowdle,93 min,"Horror, Thriller",6.728,2014,"When a team of explorers ventures into the uncharted maze of bones that lies beneath the streets of Paris, they embark on a journey into madness and terror.",Found,
