No.,Date,Name,Language,Year,Good?,N'th time of watching,Location,Director,Runtime,Genre,TMDb_Rating,Release_Year,Overview,API_Status,Var
68,24/08/24,Demonte Colony 2,Tamil,2024,,,Theatre,R. Ajay Gnanamuthu,145 min,"Horror, Thriller",6.7,2024,"Debbie attempts to contact the spirit of her deceased husband Sam, she inadvertently contacts Srinivasan, who had just died. This contact saves his life but leaves him in a coma for years. Later, Debbie unravels mystery about Lord Demonte sacrificing people and enslaves their spirits. Can Debbie break this cycle and help Srinivasan to wake up from his coma?",Found,
67,22/08/24,The Perks of Being a Wallflower,English,2012,,2,Home,Stephen Chbosky,103 min,Drama,7.8,2012,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.",Found,
66,18/08/24,Demonte Colony,Tamil,2015,,,Home,R. Ajay Gnanamuthu,116 min,Horror,7.0,2015,"Four friends go into a haunted mansion on a whim but they do not realize that they have returned home with an evil spirit, from which escape might be impossible.",Found,
65,16/08/24,777 Charlie,Kannada,2022,,,Home,Kiranraj K.,166 min,"Drama, Adventure, Comedy",7.6,2022,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie who is naughty and energetic which is a complete contrast with the Dharma’s character enters his life and gives him a new perspective towards it.,Found,
64,15/08/24,Mankatha,Tamil,2011,,,Home,Venkat Prabhu,161 min,"Action, Thriller",6.7,2011,"Vinayak, a suspended cop, helps a group of four men rob cricket betting money amounting to 500 crores INR. When it comes to splitting the amount, betrayal hits the team hard and a chase ensues.",Found,
63,15/08/24,Sharmajee Ki Beti,Hindi,2024,,,Home,Tahira Kashyap Khurrana,115 min,"Comedy, Drama",6.0,2023,"Sharmajee Ki Beti intricately weaves the lives of Jyoti, Kiran, and Tanvi, all with the common surname of Sharma as they navigate urban loneliness, societal pressures, and gender expectations. Amidst their struggles, teenagers, Swati and Gurveen journey through puberty and maternal neglect, adding depth to this humorous and heart-warming tale of resilience, aspirations, and coming-of-age.",Found,
62,15/08/24,Twisters,English,2024,,,Home,Lee Isaac Chung,123 min,"Action, Thriller",6.785,2024,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",Found,0
61,15/08/24,A Quiet Place: Day One,English,2024,,,Home,Michael Sarnoski,100 min,"Horror, Science Fiction, Thriller",6.7,2024,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",Found,
60,15/08/24,Stree 2,Hindi,2024,,,Theatre,Amar Kaushik,143 min,"Horror, Comedy",6.7,2024,"Following the events of 'Stree', the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and friends to save their town and loved ones.",Found,
59,12/08/24,Jailer,Tamil,2023,,2,Home,Nelson Dilipkumar,165 min,"Action, Crime, Thriller, Comedy, Adventure",6.6,2023,"Muthuvel Pandian, a retired, stern yet compassionate jailer lives a peaceful life with his family, but trouble knocks his door when his cop son’s tryst with an antique mafia gang goes awry and forces Muthu to step back into a dark world he had voluntarily took a break from.",Found,0
